Bigram,Frequency
"('would', 'like')",175
"('love', 'yall')",87
"('im', 'sorry')",74
"('like', 'thank')",56
"('take', 'care')",56
"('stay', 'strong')",51
"('family', 'love')",49
"('im', 'ready')",47
"('yes', 'sir')",46
"('death', 'row')",44
"('want', 'thank')",44
"('god', 'bless')",44
"('like', 'say')",41
"('know', 'love')",40
"('want', 'say')",39
"('want', 'know')",38
"('pain', 'caused')",36
"('dont', 'know')",35
"('find', 'peace')",34
"('love', 'love')",34
"('jesus', 'christ')",33
"('lord', 'jesus')",32
"('family', 'friends')",31
"('hope', 'find')",30
"('sorry', 'pain')",30
"('victims', 'family')",30
"('ready', 'warden')",30
"('loved', 'ones')",27
"('ask', 'forgiveness')",26
"('love', 'family')",25
"('tell', 'family')",25
"('ready', 'go')",23
"('like', 'apologize')",22
"('like', 'tell')",22
"('love', 'thank')",22
"('want', 'tell')",22
"('thank', 'love')",21
"('going', 'home')",21
"('one', 'day')",21
"('yes', 'would')",20
"('wish', 'could')",20
"('love', 'much')",20
"('gon', 'na')",20
"('truly', 'sorry')",20
"('warden', 'yes')",19
"('im', 'going')",19
"('love', 'im')",19
"('thank', 'lord')",19
"('keep', 'heads')",19
"('take', 'home')",18
"('innocent', 'man')",17
"('thank', 'god')",17
"('family', 'sorry')",17
"('every', 'one')",16
"('pain', 'suffering')",16
"('thank', 'family')",15
"('id', 'like')",15
"('dont', 'want')",15
"('please', 'forgive')",15
"('death', 'penalty')",15
"('loved', 'one')",15
"('let', 'know')",15
"('first', 'would')",14
"('know', 'im')",14
"('see', 'yall')",14
"('thank', 'warden')",14
"('holy', 'holy')",14
"('caused', 'family')",13
"('yes', 'want')",13
"('make', 'sure')",13
"('see', 'side')",13
"('sir', 'would')",13
"('mom', 'love')",13
"('ill', 'see')",13
"('want', 'apologize')",12
"('say', 'family')",12
"('go', 'home')",12
"('yall', 'know')",12
"('go', 'ahead')",12
"('first', 'want')",12
"('lot', 'people')",12
"('even', 'though')",12
"('better', 'place')",12
"('love', 'everybody')",12
"('say', 'love')",12
"('thank', 'support')",11
"('everyone', 'know')",11
"('love', 'take')",11
"('yall', 'im')",11
"('thank', 'everything')",11
"('family', 'know')",11
"('love', 'support')",11
"('friends', 'family')",11
"('ive', 'done')",11
"('god', 'forgive')",11
"('heart', 'forgive')",11
"('family', 'thank')",11
"('home', 'lord')",11
"('sorry', 'sorry')",11
"('take', 'back')",11
"('love', 'mom')",11
"('everybody', 'love')",11
"('years', 'ago')",11
"('thats', 'say')",11
"('brothers', 'sisters')",10
"('love', 'guys')",10
"('warden', 'im')",10
"('ready', 'yes')",10
"('yall', 'love')",10
"('say', 'goodbye')",10
"('im', 'done')",10
"('friends', 'love')",10
"('heavenly', 'father')",10
"('find', 'heart')",10
"('peace', 'god')",10
"('love', 'god')",10
"('love', 'stay')",10
"('forgive', 'us')",10
"('like', 'address')",9
"('dont', 'think')",9
"('im', 'innocent')",9
"('ask', 'forgive')",9
"('hope', 'brings')",9
"('peace', 'heart')",9
"('thank', 'jesus')",9
"('love', 'every')",9
"('know', 'yall')",9
"('ok', 'warden')",9
"('forgive', 'know')",9
"('state', 'texas')",9
"('sorry', 'love')",9
"('know', 'going')",9
"('love', 'tell')",9
"('care', 'love')",9
"('hope', 'forgive')",9
"('give', 'love')",9
"('may', 'god')",9
"('yall', 'take')",9
"('thats', 'warden')",8
"('know', 'sorry')",8
"('family', 'im')",8
"('sorry', 'family')",8
"('love', 'always')",8
"('thank', 'friends')",8
"('bring', 'back')",8
"('keep', 'head')",8
"('keep', 'faith')",8
"('love', 'ready')",8
"('feel', 'like')",8
"('love', 'everyone')",8
"('didnt', 'kill')",8
"('people', 'know')",8
"('give', 'thanks')",8
"('thy', 'done')",8
"('forgive', 'sins')",8
"('ask', 'god')",8
"('love', 'see')",8
"('ive', 'caused')",7
"('one', 'another')",7
"('know', 'know')",7
"('let', 'everyone')",7
"('last', 'years')",7
"('brings', 'closure')",7
"('give', 'us')",7
"('see', 'get')",7
"('would', 'also')",7
"('also', 'like')",7
"('bring', 'peace')",7
"('see', 'heaven')",7
"('thank', 'thank')",7
"('say', 'sorry')",7
"('forgive', 'hope')",7
"('apologize', 'pain')",7
"('love', 'sorry')",7
"('god', 'loves')",7
"('lord', 'forgive')",7
"('written', 'statement')",7
"('tell', 'everyone')",7
"('say', 'im')",7
"('know', 'god')",7
"('want', 'let')",7
"('kids', 'love')",7
"('sorry', 'hope')",7
"('peace', 'hope')",7
"('jesus', 'lord')",7
"('love', 'dearly')",7
"('really', 'sorry')",7
"('dont', 'give')",7
"('god', 'love')",7
"('didnt', 'mean')",7
"('hope', 'god')",7
"('lets', 'go')",7
"('yall', 'want')",7
"('love', 'ill')",7
"('know', 'cant')",7
"('im', 'gon')",7
"('love', 'know')",7
"('thy', 'name')",7
"('deliver', 'us')",7
"('us', 'evil')",7
"('like', 'man')",7
"('give', 'peace')",7
"('life', 'thank')",7
"('family', 'loved')",7
"('know', 'say')",7
"('love', 'want')",7
"('family', 'would')",7
"('black', 'people')",7
"('keep', 'marching')",7
"('yes', 'warden')",6
"('thank', 'everyone')",6
"('sorry', 'putting')",6
"('hope', 'one')",6
"('forgive', 'im')",6
"('bring', 'closure')",6
"('pray', 'lord')",6
"('else', 'say')",6
"('good', 'love')",6
"('im', 'saying')",6
"('one', 'thing')",6
"('yall', 'see')",6
"('done', 'warden')",6
"('thank', 'supporting')",6
"('want', 'everyone')",6
"('police', 'officer')",6
"('part', 'life')",6
"('sorry', 'know')",6
"('want', 'see')",6
"('mom', 'dad')",6
"('tell', 'mom')",6
"('much', 'love')",6
"('yall', 'dont')",6
"('warden', 'ready')",6
"('praise', 'lord')",6
"('find', 'hearts')",6
"('long', 'time')",6
"('taking', 'life')",6
"('thank', 'father')",6
"('never', 'meant')",6
"('yall', 'done')",6
"('sir', 'want')",6
"('lord', 'mercy')",6
"('dont', 'hate')",6
"('ill', 'waiting')",6
"('family', 'take')",6
"('sorry', 'done')",6
"('live', 'life')",6
"('love', 'heart')",6
"('god', 'almighty')",6
"('could', 'take')",6
"('love', 'dont')",6
"('dont', 'forget')",6
"('go', 'warden')",6
"('support', 'love')",6
"('strong', 'keep')",6
"('keep', 'going')",6
"('going', 'better')",6
"('love', 'one')",6
"('right', 'warden')",6
"('love', 'yes')",6
"('dont', 'cry')",6
"('love', 'appreciate')",6
"('sorry', 'forgive')",6
"('hope', 'get')",6
"('family', 'members')",6
"('sorry', 'dont')",6
"('yall', 'stay')",6
"('love', 'brother')",6
"('name', 'thy')",6
"('thy', 'kingdom')",6
"('kingdom', 'come')",6
"('come', 'thy')",6
"('done', 'earth')",6
"('earth', 'heaven')",6
"('heaven', 'give')",6
"('us', 'day')",6
"('day', 'daily')",6
"('daily', 'bread')",6
"('bread', 'forgive')",6
