Word,Frequency
love,833
family,394
know,370
thank,349
sorry,295
want,284
yall,282
would,270
like,265
im,252
god,252
say,209
life,183
lord,178
hope,176
forgive,165
dont,164
going,155
people,146
tell,146
peace,143
one,143
take,137
warden,136
yes,134
see,133
jesus,126
death,113
ready,113
give,109
done,108
pain,107
keep,103
go,102
thats,96
heart,94
ask,93
strong,93
get,93
friends,91
man,90
years,90
find,89
father,85
right,83
everybody,78
us,77
back,77
pray,75
good,75
never,75
caused,74
come,74
please,73
home,73
let,73
time,73
could,68
everyone,67
care,66
got,65
stay,65
always,64
forgiveness,62
christ,62
apologize,61
everything,61
mom,61
ill,59
make,59
way,59
first,58
loved,58
didnt,58
day,58
row,57
innocent,56
nothing,56
said,55
much,55
ive,53
support,53
may,53
cant,52
bless,52
sir,52
world,50
lot,49
today,49
heaven,47
wish,45
victims,44
ok,44
happened,44
sister,43
statement,43
help,42
hate,42
wrong,41
things,41
really,41
kill,40
continue,39
son,39
something,39
thing,39
still,39
hurt,38
truth,38
brothers,37
justice,37
think,37
closure,37
truly,37
tonight,37
made,36
bring,36
last,36
understand,36
feel,36
allah,36
ones,35
guys,35
every,35
appreciate,35
mr,35
anything,35
words,34
name,34
brother,34
better,33
well,33
mother,32
shall,32
soul,32
murder,32
texas,32
thanks,32
must,32
spirit,31
even,30
put,30
goodbye,30
place,30
ever,30
wanted,30
die,30
look,29
state,29
live,29
kids,29
remember,29
thy,29
best,28
long,28
also,27
told,27
killing,27
part,27
mean,27
believe,27
many,26
anyone,26
killed,26
move,26
holy,26
else,25
took,25
mercy,25
alright,25
wife,25
ms,25
talk,25
need,25
lets,25
fight,24
sure,24
side,24
happy,24
suffering,24
daughter,24
praise,23
evil,23
wont,23
hold,23
hearts,23
john,23
ah,23
coming,22
heads,22
system,22
leave,22
dad,22
stop,22
crime,22
sins,22
together,21
taking,21
faith,21
baby,21
end,21
change,21
person,21
brought,20
two,20
thought,20
bad,20
written,20
though,20
gon,20
na,20
amen,20
real,20
free,20
away,19
okay,19
