Bigram,Frequency
"('year', 'old')",146
"('capital', 'murder')",65
"('shooting', 'death')",64
"('old', 'white')",63
"('death', 'yearold')",59
"('caliber', 'pistol')",57
"('murder', 'yearold')",54
"('sexually', 'assaulted')",53
"('white', 'female')",51
"('white', 'male')",44
"('san', 'antonio')",44
"('shot', 'head')",41
"('convicted', 'capital')",41
"('body', 'found')",38
"('robbery', 'murder')",35
"('fatally', 'shot')",30
"('hispanic', 'male')",29
"('old', 'hispanic')",28
"('days', 'later')",28
"('resulting', 'death')",27
"('told', 'police')",27
"('police', 'officer')",26
"('county', 'texas')",26
"('convenience', 'store')",25
"('sentenced', 'death')",24
"('old', 'black')",23
"('fort', 'worth')",23
"('head', 'caliber')",21
"('stabbed', 'death')",21
"('apartment', 'complex')",20
"('convicted', 'robbery')",20
"('fled', 'scene')",19
"('shot', 'death')",19
"('three', 'times')",19
"('hispanic', 'female')",18
"('black', 'female')",18
"('black', 'male')",18
"('convicted', 'murder')",18
"('stabbing', 'death')",18
"('shot', 'killed')",17
"('causing', 'death')",16
"('police', 'found')",16
"('parking', 'lot')",16
"('convicted', 'august')",15
"('murdered', 'year')",15
"('times', 'head')",15
"('one', 'codefendant')",15
"('yearold', 'white')",14
"('store', 'clerk')",14
"('shot', 'three')",14
"('credit', 'cards')",13
"('back', 'head')",13
"('shot', 'twice')",13
"('corpus', 'christi')",13
"('shot', 'year')",13
"('cash', 'register')",13
"('inside', 'home')",13
"('two', 'days')",13
"('convicted', 'shooting')",13
"('convicted', 'october')",13
"('convicted', 'november')",13
"('convicted', 'december')",13
"('entered', 'home')",12
"('two', 'codefendants')",12
"('convicted', 'september')",12
"('convicted', 'february')",12
"('robberyslaying', 'yearold')",12
"('shooting', 'deaths')",12
"('convicted', 'march')",12
"('following', 'arrest')",11
"('police', 'said')",11
"('yearold', 'daughter')",11
"('demanded', 'money')",11
"('murder', 'weapon')",11
"('beaten', 'death')",10
"('college', 'station')",10
"('led', 'police')",10
"('stab', 'wounds')",10
"('returned', 'home')",10
"('also', 'killed')",10
"('sentenced', 'die')",10
"('slaying', 'yearold')",10
"('convicted', 'july')",10
"('race', 'victims')",10
"('found', 'inside')",10
"('several', 'times')",9
"('victims', 'car')",9
"('three', 'people')",9
"('texas', 'subject')",9
"('multiple', 'times')",9
"('later', 'found')",9
"('male', 'year')",9
"('two', 'men')",9
"('stabbed', 'times')",9
"('aggravated', 'robbery')",9
"('convicted', 'sentenced')",9
"('robbery', 'netted')",9
"('caliber', 'rifle')",9
"('wooded', 'area')",8
"('mm', 'pistol')",8
"('convicted', 'june')",8
"('yearold', 'james')",8
"('fatally', 'stabbed')",8
"('female', 'victim')",8
"('bexar', 'county')",8
"('adult', 'white')",8
"('three', 'victims')",8
"('sexually', 'assault')",8
"('pulled', 'pistol')",8
"('also', 'shot')",8
"('grocery', 'store')",8
"('male', 'victim')",8
"('two', 'victims')",8
"('stabbed', 'repeatedly')",8
"('inside', 'residence')",8
"('one', 'time')",8
"('convicted', 'abduction')",8
"('yearold', 'hispanic')",8
"('year', 'sentence')",8
"('convicted', 'april')",8
"('day', 'murder')",8
"('second', 'time')",8
"('records', 'indicate')",8
"('codefendants', 'none')",8
"('statement', 'police')",8
"('prosecutors', 'said')",8
"('victims', 'residence')",7
"('dallas', 'county')",7
"('entered', 'residence')",7
"('tarrant', 'county')",7
"('shot', 'victim')",7
"('pickup', 'truck')",7
"('convicted', 'may')",7
"('took', 'victim')",7
"('took', 'victims')",7
"('took', 'place')",7
"('adult', 'hispanic')",7
"('amount', 'money')",7
"('left', 'scene')",7
"('set', 'fire')",7
"('several', 'items')",7
"('convicted', 'murders')",7
"('patrol', 'car')",7
"('three', 'days')",7
"('forced', 'way')",7
"('kitchen', 'knife')",7
"('yearold', 'son')",7
"('assaulted', 'strangled')",7
"('death', 'convicted')",7
"('shot', 'caliber')",7
"('died', 'scene')",7
"('local', 'hospital')",7
"('hours', 'later')",7
"('times', 'caliber')",7
"('beating', 'death')",7
"('abduction', 'murder')",7
"('car', 'convicted')",7
"('pistol', 'shot')",7
"('five', 'days')",7
"('gunshot', 'wounds')",7
"('security', 'guard')",7
"('sentenced', 'life')",7
"('death', 'penalty')",7
"('month', 'old')",6
"('houston', 'texas')",6
"('strangled', 'death')",6
"('el', 'paso')",6
"('victim', 'shot')",6
"('shot', 'back')",6
"('people', 'including')",6
"('dallas', 'texas')",6
"('times', 'resulting')",6
"('assaulted', 'year')",6
"('caused', 'death')",6
"('victims', 'body')",6
"('remote', 'area')",6
"('victim', 'found')",6
"('victim', 'also')",6
"('harris', 'county')",6
"('duct', 'tape')",6
"('drove', 'remote')",6
"('remote', 'location')",6
"('yearold', 'michael')",6
"('money', 'cash')",6
"('victims', 'vehicle')",6
"('female', 'year')",6
"('three', 'codefendants')",6
"('numerous', 'times')",6
"('antonio', 'texas')",6
"('living', 'room')",6
"('hands', 'feet')",6
"('shot', 'officer')",6
"('amusement', 'center')",6
"('stolen', 'vehicle')",6
"('parr', 'codefendant')",6
"('police', 'convicted')",6
"('found', 'lying')",6
"('next', 'door')",6
"('around', 'neck')",6
"('attempted', 'robbery')",6
"('four', 'times')",6
"('shot', 'repeatedly')",6
"('deputy', 'sheriff')",6
"('testimony', 'showed')",6
"('three', 'men')",6
"('later', 'told')",6
"('next', 'day')",6
"('told', 'authorities')",6
"('mrs', 'carrier')",6
"('found', 'dead')",6
"('rape', 'murder')",6
"('rape', 'strangulation')",6
"('service', 'station')",6
"('two', 'accomplices')",6
"('shot', 'neck')",6
"('forced', 'drive')",6
"('also', 'serving')",6
"('life', 'sentence')",6
"('four', 'days')",6
"('next', 'morning')",6
"('murder', 'case')",6
"('march', 'shooting')",6
"('victims', 'shot')",6
"('abduction', 'shooting')",6
"('given', 'year')",6
"('life', 'prison')",6
"('yearold', 'female')",5
"('killed', 'year')",5
"('trunk', 'car')",5
"('arrested', 'four')",5
"('subject', 'fatally')",5
"('dallas', 'police')",5
"('highspeed', 'chase')",5
"('codefendants', 'robbed')",5
"('police', 'department')",5
"('traffic', 'violation')",5
"('old', 'daughter')",5
"('yearold', 'black')",5
"('head', 'causing')",5
"('male', 'police')",5
"('entered', 'apartment')",5
"('deaths', 'yearold')",5
"('pulled', 'caliber')",5
"('also', 'took')",5
"('officers', 'arrived')",5
"('victims', 'wallet')",5
"('called', 'police')",5
"('cases', 'pending')",5
"('six', 'times')",5
"('beat', 'death')",5
"('raped', 'repeatedly')",5
"('victims', 'apartment')",5
"('car', 'later')",5
"('back', 'door')",5
"('broke', 'residence')",5
"('confessed', 'crime')",5
"('victim', 'died')",5
"('victims', 'home')",5
"('tire', 'tool')",5
"('inside', 'apartment')",5
"('montgomery', 'county')",5
"('fired', 'three')",5
"('shot', 'one')",5
"('time', 'head')",5
"('brewer', 'codefendants')",5
"('abduction', 'rape')",5
"('nude', 'body')",5
"('serving', 'year')",5
"('five', 'times')",5
"('county', 'deputy')",5
"('robbery', 'shooting')",5
"('another', 'man')",5
"('confessed', 'killing')",5
"('store', 'robbery')",5
"('butcher', 'knife')",5
"('shot', 'face')",5
"('undetermined', 'amount')",5
"('death', 'robbery')",5
"('crack', 'cocaine')",5
"('male', 'convicted')",5
"('november', 'abduction')",5
"('caliber', 'revolver')",5
"('cab', 'driver')",5
"('isolated', 'area')",5
"('year', 'prison')",5
"('august', 'shooting')",5
"('assistant', 'district')",5
"('th', 'street')",5
"('county', 'jail')",5
"('reported', 'missing')",5
"('police', 'arrested')",5
"('police', 'also')",5
"('november', 'shooting')",5
"('texas', 'convicted')",5
"('shot', 'chest')",5
"('arrested', 'next')",5
"('murder', 'shooting')",5
"('murder', 'death')",5
"('texas', 'court')",5
"('raped', 'stabbed')",5
"('court', 'records')",5
"('johnson', 'murder')",5
"('scene', 'foot')",4
"('kidnapped', 'sexually')",4
"('female', 'fatally')",4
