Word,Frequency
shot,342
convicted,329
death,310
yearold,275
murder,235
home,202
police,195
victim,194
car,175
found,171
victims,170
two,164
year,161
old,157
robbery,157
head,148
later,140
shooting,127
arrested,126
texas,124
store,122
male,121
white,118
female,117
codefendants,112
houston,111
killed,109
county,108
residence,106
stabbed,105
pistol,104
also,103
three,103
inside,101
body,100
apartment,97
times,93
codefendant,90
caliber,87
money,87
took,73
vehicle,71
capital,70
sexually,69
officer,68
one,68
fled,67
told,67
back,64
died,63
robbed,62
entered,60
assaulted,59
san,58
strangled,57
knife,57
said,57
hispanic,54
near,54
scene,53
killing,52
raped,52
reportedly,52
following,51
cash,51
time,51
chest,50
area,49
dallas,49
wife,48
subject,47
forced,47
black,47
house,47
days,47
drove,46
antonio,46
left,46
attempted,46
sentenced,46
fatally,45
several,44
beaten,44
stolen,44
abducted,43
four,42
day,42
outside,42
murdered,41
gun,41
accomplice,41
murders,39
stole,39
wounds,38
slaying,37
worth,37
went,37
september,36
august,36
clerk,36
survived,35
johnson,35
april,34
taken,34
may,33
fired,33
stabbing,32
resulting,32
daughter,32
deaths,32
harris,32
broke,32
march,31
door,31
pulled,31
fort,31
hospital,31
crime,31
street,31
james,30
life,30
october,30
road,30
drive,30
abduction,30
accomplices,29
mother,29
confessed,29
son,29
july,28
kidnapped,28
jewelry,28
restaurant,28
returned,28
driving,28
man,28
williams,28
west,28
rape,27
november,27
december,27
demanded,27
hands,27
men,27
officers,27
approximately,27
convenience,27
hours,26
adult,26
station,26
room,26
next,26
neck,26
sentence,26
arrest,25
another,25
twice,25
february,25
june,25
five,25
complex,25
hernandez,25
shotgun,25
repeatedly,25
gave,24
bodies,24
behind,24
smith,24
green,24
used,23
night,23
woman,23
beat,23
face,23
block,23
assault,23
charged,23
approached,22
driven,22
gunpoint,22
truck,22
window,22
away,22
wallet,22
january,21
placed,21
jr,21
michael,21
kill,21
bedroom,21
second,21
authorities,21
set,21
throat,21
manager,21
anderson,21
l,21
van,20
people,20
couple,20
weapon,20
rifle,20
tied,20
items,20
court,20
burglary,20
prison,20
motel,20
convictedin,19
floor,19
john,19
walked,19
including,19
race,19
children,19
fire,19
shots,19
lot,19
center,19
park,19
bank,19
robert,18
discovered,18
around,18
witnesses,18
rob,18
working,18
causing,18
multiple,18
mrs,18
sister,18
prior,18
along,18
husband,18
register,18
struck,18
parking,18
th,18
began,17
amarillo,17
trunk,17
jones,17
called,17
brother,17
stopped,17
blood,17
robberyslaying,17
case,17
testified,17
